input_file,number_keys,num_processors,elapsed_time
test_data/input_32M_1.txt, 33554432, 4, 2.49603
test_data/input_32M_1.txt, 33554432, 8, 2.64767
test_data/input_32M_1.txt, 33554432, 16, 2.55958
test_data/input_32M_1.txt, 33554432, 32, 2.56011
test_data/input_32M_1.txt, 33554432, 64, 2.15147
test_data/input_32M_1.txt, 33554432, 128, 2.92703
test_data/input_32M_1.txt, 33554432, 256, 3.13829
test_data/input_32M_2.txt, 33554432, 2, 2.81899
test_data/input_32M_2.txt, 33554432, 4, 2.66638
test_data/input_32M_2.txt, 33554432, 8, 2.52796
test_data/input_32M_2.txt, 33554432, 16, 1.14806
test_data/input_32M_2.txt, 33554432, 32, 1.45832
test_data/input_32M_2.txt, 33554432, 64, 3.14435
test_data/input_32M_2.txt, 33554432, 128, 2.94557
test_data/input_32M_2.txt, 33554432, 256, 1.91261
test_data/input_32M_3.txt, 33554432, 2, 2.89891
test_data/input_32M_3.txt, 33554432, 4, 2.60617
test_data/input_32M_3.txt, 33554432, 8, 1.48317
test_data/input_32M_3.txt, 33554432, 16, 2.57805
test_data/input_32M_3.txt, 33554432, 32, 2.47647
test_data/input_32M_3.txt, 33554432, 64, 1.6872
test_data/input_32M_3.txt, 33554432, 128, 2.02847
test_data/input_32M_3.txt, 33554432, 256, 2.38755
test_data/input_32M_4.txt, 33554432, 2, 2.96822
test_data/input_32M_4.txt, 33554432, 4, 2.65773
test_data/input_32M_4.txt, 33554432, 8, 2.51607
test_data/input_32M_4.txt, 33554432, 16, 1.79688
test_data/input_32M_4.txt, 33554432, 32, 2.49452
test_data/input_32M_4.txt, 33554432, 64, 1.35281
test_data/input_32M_4.txt, 33554432, 128, 1.3554
test_data/input_32M_4.txt, 33554432, 256, 3.03608
test_data/input_32M_5.txt, 33554432, 2, 3.02801
test_data/input_32M_5.txt, 33554432, 4, 2.42756
test_data/input_32M_5.txt, 33554432, 8, 1.52373
test_data/input_32M_5.txt, 33554432, 16, 2.74501
test_data/input_32M_5.txt, 33554432, 32, 1.74539
test_data/input_32M_5.txt, 33554432, 64, 1.67955
test_data/input_32M_5.txt, 33554432, 128, 1.74176
test_data/input_32M_5.txt, 33554432, 256, 2.22227
test_data/input_32M_6.txt, 33554432, 2, 2.77932
test_data/input_32M_6.txt, 33554432, 4, 2.40382
test_data/input_32M_6.txt, 33554432, 8, 2.2289
test_data/input_32M_6.txt, 33554432, 16, 2.15405
test_data/input_32M_6.txt, 33554432, 32, 2.96369
test_data/input_32M_6.txt, 33554432, 64, 2.29461
test_data/input_32M_6.txt, 33554432, 128, 2.76237
test_data/input_32M_6.txt, 33554432, 256, 3.01029
test_data/input_32M_7.txt, 33554432, 2, 2.89741
test_data/input_32M_7.txt, 33554432, 4, 2.69982
test_data/input_32M_7.txt, 33554432, 8, 2.1321
test_data/input_32M_7.txt, 33554432, 16, 2.25439
test_data/input_32M_7.txt, 33554432, 32, 3.01205
test_data/input_32M_7.txt, 33554432, 64, 2.86708
test_data/input_32M_7.txt, 33554432, 128, 2.40733
test_data/input_32M_7.txt, 33554432, 256, 2.65222
test_data/input_32M_8.txt, 33554432, 2, 3.04291
test_data/input_32M_8.txt, 33554432, 4, 2.52404
test_data/input_32M_8.txt, 33554432, 8, 2.42969
test_data/input_32M_8.txt, 33554432, 16, 1.41053
test_data/input_32M_8.txt, 33554432, 32, 2.10338
test_data/input_32M_8.txt, 33554432, 64, 1.98752
